Tanggal Pakan,air,kosentrat,rasio,Suhu,Hari Ke :
4/1/2021, 0.50 , 0.20 , 5:2 ,25,1
4/2/2021, 0.40 , 0.30 , 4:3 ,27,2
4/3/2021, 0.60 , 0.10 , 6:1 ,28,3
4/4/2021,0.80, 0.30 , 8:3 ,25,4
4/5/2021, 0.38 , 0.20 , 19:10 ,27,5
4/6/2021,0.32, 0.12 , 8:3 ,28,6
4/7/2021, 0.28 , 0.14 , 2:1 ,29,7
4/8/2021, 0.35 , 0.25 , 7:5 ,24,8
4/9/2021, 0.50 , 0.40 , 5:4 ,26,9
4/10/2021, 0.70 , 0.35 , 2:1 ,27,10
4/11/2021, 0.72 , 0.60 , 6:5 ,29,11
4/12/2021, 0.49 , 0.21 , 7:3 ,25,12
4/13/2021, 0.54 , 0.42 , 9:7 ,30,13
4/14/2021, 0.82 , 0.62 , 41:31 ,25,14
4/15/2021, 0.65 , 0.40 , 13:8 ,26,15
4/16/2021, 0.50 , 0.30 , 5:3 ,28,16
4/17/2021, 0.85 , 0.75 , 17:15 ,27,17
4/18/2021, 0.48 , 0.42 , 8:7 ,30,18
4/19/2021, 0.54 , 0.42 , 9:7 ,25,19
4/20/2021, 0.72 , 0.68 , 18:17 ,24,20
4/21/2021, 0.88 , 0.42 , 44:21 ,25,21
4/22/2021, 0.46 , 0.32 , 23:16 ,28,22
4/23/2021, 0.56 , 0.32 , 7:4 ,27,23
4/24/2021, 0.48 , 0.42 , 8:7 ,29,24
4/25/2021, 0.42 , 0.32 , 21:16 ,30,25
4/26/2021, 0.64 , 0.52 , 16:13 ,25,26
4/27/2021, 0.79 , 0.33 , 79:33 ,26,27
4/28/2021, 0.98 , 0.68 , 49:34 ,28,28
