Jumlah Indukan,Banyak Indukan/kg,Hasil Panen
2.0,1.0,9.161618009825588
3.0,1.0,12.819173025334532
6.0,1.0,28.89055751392553
10.0,1.0,31.446278649311086
6.0,1.0,28.42988089067221
8.0,18.5,14.033333139761206
6.0,1.0,29.903430692436643
9.0,0.85,16.159288774982425
5.0,1.0,20.13428305635242
1.0,1.0,4.341433080218971
4.0,0.5,9.490496163447512
3.0,1.0,12.819173025334532
13.0,0.85,42.415807977994945
7.0,0.85,25.120997541331977
4.0,1.0,17.63935795494115
6.0,1.0,27.188207882149907
12.0,1.0,43.41190833671968
6.0,1.0,14.490798759079965
4.0,0.8,14.147287255524159
6.0,1.0,28.384120924669972
3.0,1.0,24.445472166311276
6.0,1.0,16.816058587275315
6.0,1.0,29.442754069183323
6.0,1.0,27.279727814154384
5.0,1.0,21.29691297045009
6.0,1.0,28.2926009926655
9.0,0.8,31.2724324189712
2.0,0.75,7.993761899322957
4.0,0.85,15.310962408902826
6.0,1.0,31.053583768954468
4.0,0.5,17.628905562131234
2.0,1.0,6.83635818163024
6.0,1.0,28.338360958667735
11.0,0.85,29.287548376488683
4.0,0.5,15.303645733935884
4.0,1.0,14.151468212648126
6.0,1.0,27.142447916147667
2.0,1.0,5.6737282675325655
