Jumlah Kotak,Tipe Kotak Indukan,Tipe Kotak UK,Jumlah Kotak UK,Suhu,Suhu Luar Ruangan,Banyak Indukan/kg,Hasil Panen
2.0,2,1,4.0,30.0,32.0,1.0,6.675603656179032
3.0,1,1,6.0,30.0,32.0,1.0,12.480800209755722
6.0,0,0,15.0,32.0,31.0,1.0,29.22578898415331
10.0,0,0,14.0,30.0,32.0,1.0,32.768019500433596
6.0,0,0,15.0,33.0,33.0,1.0,28.90431137630746
8.0,0,0,1.0,30.0,32.0,18.5,17.07886897311159
6.0,0,0,15.0,32.0,29.0,1.0,29.932610277101627
9.0,1,0,2.0,30.0,32.0,0.85,16.730670991558654
5.0,0,1,10.0,30.0,32.0,1.0,21.753941012673955
1.0,1,0,1.0,30.0,32.0,1.0,4.333406987906128
4.0,2,3,2.0,30.0,32.0,0.5,7.838961131494146
3.0,1,1,6.0,30.0,32.0,1.0,12.480800209755722
13.0,1,0,20.0,30.0,32.0,0.85,40.830724060487924
7.0,1,0,12.0,30.0,32.0,0.85,24.114368993063916
4.0,2,1,9.0,30.0,32.0,1.0,14.634319762018427
6.0,0,0,15.0,28.0,30.0,1.0,28.03782489021761
12.0,0,0,22.0,30.0,32.0,1.0,43.79521842774193
6.0,1,2,4.0,30.0,32.0,1.0,14.890689216540068
4.0,1,1,6.0,30.0,32.0,0.8,13.897921399804439
6.0,0,0,15.0,32.0,32.0,1.0,28.872378337679155
3.0,0,0,16.0,30.0,32.0,1.0,24.85765146954377
6.0,1,0,6.0,30.0,32.0,1.0,16.558990198832284
6.0,0,0,15.0,33.0,31.0,1.0,29.611132669255777
6.0,0,0,15.0,30.0,32.0,1.0,28.101690967474227
5.0,0,0,11.0,30.0,32.0,1.0,22.588091503820063
6.0,0,0,15.0,30.0,30.0,1.0,28.808512260422543
9.0,1,0,15.0,30.0,32.0,0.8,30.026137923345637
2.0,2,2,3.0,30.0,32.0,0.75,5.834993358807668
4.0,0,1,7.0,30.0,32.0,0.85,17.25929327244095
6.0,0,0,15.0,35.0,30.0,1.0,30.735230685934862
4.0,2,1,9.0,30.0,32.0,0.5,14.621400149567915
2.0,2,2,2.0,30.0,32.0,1.0,4.818625557876612
6.0,0,0,15.0,31.0,31.0,1.0,28.84044529905085
11.0,1,0,11.0,30.0,32.0,0.85,28.78069752602329
4.0,2,2,7.0,30.0,32.0,0.5,12.764422051265496
4.0,0,1,6.0,30.0,32.0,1.0,16.240341549019792
6.0,0,0,15.0,27.0,29.0,1.0,28.005891851589304
2.0,2,2,1.0,30.0,32.0,1.0,3.7957979507203023
